,sample,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
227,may_run8_8_124,0.344292687,0.428515798,0.262505992,0.297452043,0.336191011,0.223045924,0.185833129,0.013357572
228,may_run8_9_125,0.176692711,0.193331664,0.166633669,0.179817038,0.183818695,0.122970793,0.088724757,0
229,may_run9_10_136,0.126750047,0.119449963,0.135558988,0.152151116,0.130936062,0.108525121,0.072594388,0.015521942
230,may_run9_3_129,0.166024808,0.150702562,0.190601153,0.147400921,0.178033494,0.14045319,0.085538772,0
231,may_run9_4_130,0.160185411,0.147240595,0.184259475,0.146509382,0.172640424,0.137133214,0.087241775,0
232,may_run9_5_131,0.396585471,0.35591449,0.4146837,0.430576395,0.347659179,0.47163679,0.533228809,0.494820433
233,may_run9_6_132,0.388091601,0.34398974,0.399291393,0.418532854,0.340081253,0.452282871,0.523194936,0.460843273
234,may_run9_7_133,0.363224304,0.385579279,0.367579324,0.340062819,0.390187167,0.23411735,0.222982456,0
235,may_run9_8_134,0.35356942,0.378096752,0.353407216,0.327006601,0.386392553,0.228761534,0.218250242,0
236,may_run9_9_135,0.12840485,0.126286915,0.140115096,0.151291764,0.125694222,0.115105267,0.087876477,0
237,aug_run1_1_1,0.200440893,0.184919208,0.199683065,0.238214913,0.174124812,0.163695747,0.145922909,0.152482431
238,aug_run1_2_2,0.187804649,0.175701674,0.193425525,0.219878957,0.167310183,0.164356747,0.131442648,0.122578576
239,aug_run1_3_3,0.425521464,0.394924039,0.40568314,0.465142251,0.375927171,0.373073412,0.248526932,0.092927685
240,aug_run1_4_4,0.404204281,0.377694558,0.389675659,0.442119784,0.356287845,0.350475951,0.255984595,0.097949511
241,aug_run1_5_5,0.256765707,0.229191198,0.249571109,0.233594914,0.214784096,0.2647107,0.213279797,0.197300089
242,aug_run1_6_6,0.247048655,0.219163195,0.240120029,0.211671873,0.210831148,0.298921108,0.444607602,0.218567937
243,aug_run1_7_7,0.265185021,0.27550769,0.23636902,0.289640092,0.225812489,0.213509837,0.166317553,0.283702445
244,aug_run1_8_8,0.256196226,0.266888885,0.228799476,0.269765332,0.225346513,0.213858868,0.186189347,0.238132107
245,aug_run10_1_11,0.159649172,0.134278038,0.16315212,0.111703016,0.15662334,0.208513651,0.191548049,0.291792285
246,aug_run10_2_12,0.154156885,0.131480636,0.156838177,0.106714697,0.153050038,0.205904024,0.200423259,0.239692933
247,aug_run10_3_13,0.085022171,0.075931101,0.083847073,0.051098133,0.086839906,0.124640158,0.145176378,0.320596992
248,aug_run10_4_14,0.081108231,0.07543422,0.082808656,0.048400497,0.083225578,0.126813269,0.140378323,0.281432072
249,aug_run10_5_15,0.110231981,0.10221228,0.097759773,0.076825078,0.103970249,0.135253224,0.160874838,0.642847686
250,aug_run10_6_16,0.105881171,0.094744082,0.094847188,0.077895603,0.099767641,0.133365307,0.139586736,0.581922821
251,aug_run10_7_17,0.27355448,0.283185129,0.268433239,0.205653007,0.28222679,0.248715937,0.210758671,0.238949843
252,aug_run10_8_18,0.266591042,0.269058166,0.260399375,0.20516771,0.274695743,0.236662971,0.209966936,0.206990228
253,aug_run11_1_20,0.212278149,0.208368948,0.182846047,0.179152135,0.162463692,0.223448266,0.157754569,0.153444335
254,aug_run11_10_29,0.172397689,0.15410009,0.176399851,0.120190207,0.152279095,0.237642866,0.205104139,0.577018462
255,aug_run11_2_21,0.20706171,0.199881523,0.179084394,0.172516929,0.15656532,0.21075647,0.16623112,0.149331615
256,aug_run11_5_24,0.242708142,0.231651555,0.239205649,0.283455982,0.202011531,0.242172342,0.183121977,0.14590776
257,aug_run11_6_25,0.22710795,0.215882446,0.224066127,0.26235971,0.189158233,0.22344427,0.170106944,0.139262428
258,aug_run11_7_26,0.092460484,0.097937934,0.089721016,0.065471725,0.084339352,0.135503993,0.124850346,0.409564772
259,aug_run11_8_27,0.090714911,0.095536635,0.085207577,0.057254687,0.083287874,0.136550306,0.115975653,0.420722211
260,aug_run11_9_28,0.178251186,0.159030156,0.177908462,0.124975436,0.161250651,0.242514071,0.22559518,0.566930772
261,aug_run12_1_31,0.262798032,0.272421365,0.227163024,0.291156993,0.213214883,0.260271033,0.227814329,0.218663906
262,aug_run12_10_40,0.222342162,0.220156562,0.181787069,0.215664643,0.172168498,0.22850846,0.179006283,0.233090121
263,aug_run12_2_32,0.253395617,0.269306027,0.219757504,0.284044234,0.206639589,0.256298708,0.221345894,0.210559528
264,aug_run12_3_33,0.402975937,0.353034819,0.385393032,0.44573464,0.320180502,0.498321113,0.433753439,0.226489811
265,aug_run12_4_34,0.379854618,0.332183262,0.36740766,0.434209858,0.302497921,0.459478689,0.404919403,0.244851564
266,aug_run12_5_35,0.123371626,0.116806148,0.113813836,0.097636898,0.107717375,0.155965891,0.180967201,0.615347828
267,aug_run12_6_36,0.118969035,0.116619497,0.111435433,0.089145201,0.104886695,0.165008519,0.164917586,0.592028715
268,aug_run12_9_39,0.22885603,0.225074737,0.18542052,0.22260001,0.17932699,0.235668757,0.172207149,0.239319378
269,aug_run13_1_41,0.598443535,0.509134407,0.583880764,0.840700114,0.437722342,0.870400464,0.675752625,0.292811083
270,aug_run13_10_50,0.236320338,0.222307815,0.19754488,0.210191878,0.180390868,0.254968236,0.220369703,0.184298123
271,aug_run13_2_42,0.578652373,0.49903529,0.57629161,0.824291352,0.424475503,0.84636112,0.680257853,0.204923524
272,aug_run13_3_43,0.176817887,0.173711086,0.165392587,0.188707594,0.162277846,0.196644464,0.180679241,0.218896066
273,aug_run13_4_44,0.170896702,0.169636051,0.164380401,0.193171873,0.154003037,0.182032207,0.188464795,0.185958135
274,aug_run13_5_45,0.268278765,0.247546466,0.279110478,0.200201328,0.236216239,0.353805651,0.316284159,0.399742306
